,Date,Constant,Mkt
"1-1",1926-07-01,0.036110008280715304,0.55743066468040403
"2-1",1926-07-02,0.036110769861524714,0.55745570461599014
"3-1",1926-07-06,0.036111499282810586,0.55747598639349494
"4-1",1926-07-07,0.036111072151539601,0.55743162375126531
"5-1",1926-07-08,0.036108697745374237,0.55732963934878621
"6-1",1926-07-09,0.036100633168800966,0.55683477368580281
"7-1",1926-07-10,0.036092894493991078,0.55626382954649822
"8-1",1926-07-12,0.036082092418268735,0.55506841440854948
"9-1",1926-07-13,0.036069046343777666,0.55384348722232479
"10-1",1926-07-14,0.03606407590169073,0.55389304444326359
"11-1",1926-07-15,0.036063538229841638,0.55400089943649999
"12-1",1926-07-16,0.036060857869223875,0.55441168583240596
"13-1",1926-07-17,0.036060508249462095,0.55522862236682913
"14-1",1926-07-19,0.036056182237628895,0.55560104549532008
"15-1",1926-07-20,0.036052285492788473,0.55597205724288801
"16-1",1926-07-21,0.036050181573556668,0.55600707643901037
"17-1",1926-07-22,0.036049799441558769,0.55570243322972368
"18-1",1926-07-23,0.03604984537727686,0.55529504705828392
"19-1",1926-07-24,0.036050897637163355,0.55488104352861445
"20-1",1926-07-26,0.036052038585898123,0.55446295761546582
"21-1",1926-07-27,0.036052224736592919,0.5538784905470745
"22-1",1926-07-28,0.036054363460620874,0.55357007653280721
"23-1",1926-07-29,0.036056390318636132,0.55322157202492694
"24-1",1926-07-30,0.036064513973293293,0.55359470811417621
"25-1",1926-07-31,0.036071191563655736,0.55390128128033156
"26-1",1926-08-02,0.036081482038192413,0.55475427700116475
"27-1",1926-08-03,0.03609338437775194,0.55605244150714406
"28-1",1926-08-04,0.036100913915194668,0.5566748741007872
"29-1",1926-08-05,0.036109457768714867,0.55717724829281157
"30-1",1926-08-06,0.0361166869420445,0.55771852515182141
"31-1",1926-08-07,0.036121111214931875,0.55763269289960782
"32-1",1926-08-09,0.036126093343347973,0.55763123225424582
"33-1",1926-08-10,0.036128883873269152,0.55747845136406182
"34-1",1926-08-11,0.036129720547648972,0.55822503806500945
"35-1",1926-08-12,0.036129687471943749,0.5591346241947851
"36-1",1926-08-13,0.036131623745848988,0.56058811006876319
"37-1",1926-08-14,0.036135693337594317,0.56244841407894131
"38-1",1926-08-16,0.036139171763344378,0.56417460372876593
"39-1",1926-08-17,0.036144193756643787,0.56593631889721818
"40-1",1926-08-18,0.036146868090120764,0.56843132365601934
"41-1",1926-08-19,0.036152975898578722,0.57121983914452057
"42-1",1926-08-20,0.036162829666506045,0.57326937737795125
"43-1",1926-08-21,0.03617301740225122,0.57529695464932529
"44-1",1926-08-23,0.036182995996214148,0.57730252762208711
"45-1",1926-08-24,0.036194554511085962,0.57956263598458091
"46-1",1926-08-25,0.036201018675808459,0.58322971430729498
"47-1",1926-08-26,0.036209704075934573,0.58666309123096172
"48-1",1926-08-27,0.036216663312203613,0.58979567036844127
"49-1",1926-08-28,0.036219622911512719,0.592467987247285
"50-1",1926-08-30,0.036216410194184062,0.5944503124346997
"51-1",1926-08-31,0.036212503779070392,0.59636421364566572
"52-1",1926-09-01,0.036207347765053438,0.59803981961188257
"53-1",1926-09-02,0.036197476503597538,0.59886274980355403
"54-1",1926-09-03,0.036193225602721493,0.59957480536703545
"55-1",1926-09-07,0.036194019687220302,0.60111622776222551
