,Date,Constant,Mkt
"1-1",1963-07-05,0.024175417199484264,1.0779239817727464
"2-1",1963-07-08,0.024175452578682699,1.0779721325287999
"3-1",1963-07-09,0.024175463622610933,1.0780724473725547
"4-1",1963-07-10,0.024175447220832307,1.078130739721864
"5-1",1963-07-11,0.024175457950725565,1.0781724154026804
"6-1",1963-07-12,0.024175518311582597,1.0781870721883706
"7-1",1963-07-15,0.024175608338590129,1.0781896163751654
"8-1",1963-07-16,0.024175788078095208,1.0780029089745133
"9-1",1963-07-17,0.024175967122190466,1.0778163672018595
"10-1",1963-07-18,0.024176053310626951,1.0777340853065269
"11-1",1963-07-19,0.02417608113362725,1.0777590403454276
"12-1",1963-07-22,0.024176134019845842,1.0777643816825824
"13-1",1963-07-23,0.02417623549381465,1.0776540000089139
"14-1",1963-07-24,0.024176453347854027,1.0775475781376078
"15-1",1963-07-25,0.024176795646743538,1.0776359296705516
"16-1",1963-07-26,0.024177111454611384,1.0777278866046489
"17-1",1963-07-29,0.024177563366048423,1.0779819246676481
"18-1",1963-07-30,0.024177984284119255,1.0782243627750414
"19-1",1963-07-31,0.024178518839242127,1.0787915845181077
"20-1",1963-08-01,0.024179136738427327,1.0793219413738036
"21-1",1963-08-02,0.024179888819952533,1.0798157740690055
"22-1",1963-08-05,0.024180623211320498,1.0802921515740136
"23-1",1963-08-06,0.024181352159858793,1.0807579731978278
"24-1",1963-08-07,0.024182158334678846,1.0813814510997963
"25-1",1963-08-08,0.024182909674150498,1.0820403784191817
"26-1",1963-08-09,0.024183783195451065,1.0827575066186133
"27-1",1963-08-12,0.024184610066941836,1.0833793999417616
"28-1",1963-08-13,0.02418531468309508,1.0839014603010007
"29-1",1963-08-14,0.024186093386677994,1.0844915824219794
"30-1",1963-08-15,0.024186703997037026,1.0849101246645998
"31-1",1963-08-16,0.024187304156908444,1.0853133771741095
"32-1",1963-08-19,0.02418786478451088,1.0856964535523439
"33-1",1963-08-20,0.024188414531187204,1.0860813810343248
"34-1",1963-08-21,0.024188980457893371,1.0864635559092619
"35-1",1963-08-22,0.024189505603638403,1.0868609939645706
"36-1",1963-08-23,0.02418981313326217,1.0869696630214682
"37-1",1963-08-26,0.024190041485123853,1.0869867359675727
"38-1",1963-08-27,0.024190118156461746,1.0869109128698509
"39-1",1963-08-28,0.024190290090556076,1.0866924729633363
"40-1",1963-08-29,0.024190559991362329,1.0867306965799475
"41-1",1963-08-30,0.024190743157561895,1.0867157999829491
"42-1",1963-09-03,0.024191008807007992,1.0868243881331829
"43-1",1963-09-04,0.02419125505223995,1.0869177911438122
"44-1",1963-09-05,0.024191411054448976,1.0870142646503917
"45-1",1963-09-06,0.024191510255100721,1.0870199032042032
"46-1",1963-09-09,0.02419165314638216,1.0869854045681908
"47-1",1963-09-10,0.024191786766852397,1.0869622616641106
"48-1",1963-09-11,0.024191849684250668,1.0868140247479534
"49-1",1963-09-12,0.024191942394571092,1.0866901165505449
"50-1",1963-09-13,0.024191995250758894,1.08657841259386
"51-1",1963-09-16,0.024191948443993118,1.0864599266237753
"52-1",1963-09-17,0.024191912659683238,1.0863354400734615
"53-1",1963-09-18,0.024191945517870784,1.0862179601538056
"54-1",1963-09-19,0.024192030957959833,1.0860235495424819
"55-1",1963-09-20,0.024191980460235931,1.0855886259528413
"56-1",1963-09-23,0.02419186911513338,1.0851454210967413
"57-1",1963-09-24,0.024191894002072289,1.0844704532089657
"58-1",1963-09-25,0.024192007550342155,1.0839010690960791
"59-1",1963-09-26,0.024192302761461726,1.0829731851067133
"60-1",1963-09-27,0.024192569268588007,1.0821244094503377
"61-1",1963-09-30,0.024192738000487719,1.0813355157847768
"62-1",1963-10-01,0.024192790538677327,1.0807838298089225
"63-1",1963-10-02,0.024192895433567969,1.0803479363582289
"64-1",1963-10-03,0.024193066505166904,1.0799345593645682
"65-1",1963-10-04,0.024192911505201507,1.0787778507224519
"66-1",1963-10-07,0.024192807503311008,1.0776211420803357
"67-1",1963-10-08,0.0241926690344937,1.0764914061922608
"68-1",1963-10-09,0.024192510795057447,1.0753710879682672
"69-1",1963-10-10,0.024192346175589543,1.0742640115606905
"70-1",1963-10-11,0.024192138314658117,1.0731451649145451
"71-1",1963-10-14,0.02419189455802347,1.0720104408199118
"72-1",1963-10-15,0.024191606292430057,1.0708681446951529
"73-1",1963-10-16,0.024191489245557682,1.0698248850203353
"74-1",1963-10-17,0.024191418942662146,1.0689231755688768
"75-1",1963-10-18,0.024191253263301779,1.0679760338773023
"76-1",1963-10-21,0.024191098579724766,1.0670322593443675
"77-1",1963-10-22,0.024190893111923316,1.0660833010503923
"78-1",1963-10-23,0.024190865504309631,1.064807553778147
"79-1",1963-10-24,0.024190635478169405,1.0635111447889334
"80-1",1963-10-25,0.024190419756136471,1.062231770076419
"81-1",1963-10-28,0.02419070056502097,1.0623884141313451
"82-1",1963-10-29,0.024191316930728124,1.0630131648508994
"83-1",1963-10-30,0.024191793431428361,1.0636569510558977
"84-1",1963-10-31,0.024192174589307013,1.0645570144700176
"85-1",1963-11-01,0.024192657398625191,1.0655297098371592
"86-1",1963-11-04,0.02419301156472117,1.0665811921580168
"87-1",1963-11-06,0.024193401228093891,1.0675807396881163
"88-1",1963-11-07,0.024193705431445601,1.06880418439358
"89-1",1963-11-08,0.024193997127464673,1.070013585658032
"90-1",1963-11-11,0.024194224936460312,1.07110560497561
"91-1",1963-11-12,0.024194408573764554,1.0721675656814169
"92-1",1963-11-13,0.024194504225953685,1.0733402922219955
"93-1",1963-11-14,0.024194685347775323,1.0745275591753387
"94-1",1963-11-15,0.024194733084104608,1.0759009008371061
"95-1",1963-11-18,0.024194681885959839,1.0775267090265519
"96-1",1963-11-19,0.024194547755521129,1.0793613267346587
"97-1",1963-11-20,0.024194625933093201,1.0812681817045724
"98-1",1963-11-21,0.024195097160229315,1.0841914159603361
"99-1",1963-11-22,0.024195665277911699,1.0867025656854801
"100-1",1963-11-26,0.024196375658566527,1.0878099815670785
"101-1",1963-11-27,0.024197015745214854,1.0879750535711226
"102-1",1963-11-29,0.024197607169437866,1.0881666172018909
"103-1",1963-12-02,0.024198048263020223,1.0876727759390528
"104-1",1963-12-03,0.024198679213993345,1.0875213067014498
"105-1",1963-12-04,0.024199423767456863,1.0873505109843358
"106-1",1963-12-05,0.024200193246373729,1.0872009173228168
"107-1",1963-12-06,0.024201035224193219,1.0871919287966538
"108-1",1963-12-09,0.024201804813741897,1.0872617560318141
"109-1",1963-12-10,0.024202674351344235,1.0872941754882377
"110-1",1963-12-11,0.024203603142300023,1.0873386914265326
